,0
0,1.5074525745257452
1,1.4171974522292994
2,1.3484848484848484
3,1.4495114006514658
4,1.379417234965902
5,1.4833333333333334
6,1.4485677083333333
7,1.4843228819212808
8,1.4532984977139125
9,1.5136054421768708
10,1.4744864148442678
11,1.5033783783783783
12,1.401133501259446
13,1.6779788838612368
14,1.3435990338164252
15,1.4037854889589905
16,1.4983164983164983
17,1.396735718769617
18,1.5813788201847903
19,1.6170058139534884
20,1.6616878267363704
21,1.5366022099447514
22,1.504394861392833
23,1.3600244498777505
24,1.3709180529882934
25,1.5125764785859959
26,1.485313751668892
27,1.3575350823672971
28,1.5926986399427345
29,1.4109067850348764
30,1.456151832460733
31,1.3220439691027925
32,1.599568655643422
33,1.5397923875432526
34,1.5570328901329602
35,1.585887384176764
36,1.63003663003663
37,1.3567073170731707
38,1.4046717171717171
39,1.5094979647218454
40,1.4803725881570193
41,1.5926986399427345
42,1.4504563233376793
43,1.3608562691131498
44,1.5334252239834596
45,1.3862928348909658
46,1.4429312581063554
47,1.4217252396166133
48,1.4271969211032713
49,1.4144945963127782
50,1.3777089783281733
51,1.6288433382137628
52,1.5260631001371743
53,1.4803725881570193
54,1.4171974522292994
55,1.406447534766119
56,1.4932885906040267
57,1.5125764785859959
58,1.3984915147705845
59,1.4181007010834927
60,1.4872994652406417
61,1.555944055944056
62,1.39937106918239
63,1.514635806671205
64,1.420817369093231
65,1.4391979301423028
66,1.542995839112344
67,1.549442896935933
68,1.4715608465608465
69,1.5825035561877667
70,1.4336340206185567
71,1.3726095003084515
72,1.438267614738203
73,1.451402478799739
74,1.4100126742712293
75,1.4922870556673373
76,1.3444108761329305
77,1.3103651354534747
78,1.542995839112344
79,1.4281129653401796
80,1.420817369093231
81,1.5084745762711864
82,1.350121359223301
83,1.4135959339263025
84,1.451402478799739
85,1.409119696010133
86,1.4410621761658031
87,1.396735718769617
88,1.4902880107166778
89,1.6181818181818182
90,1.4715608465608465
91,1.5537709497206704
92,1.5323691460055096
93,1.4055590650663297
94,1.4892904953145918
95,1.3476680799515446
96,1.39937106918239
97,1.4457439896036388
98,1.394110275689223
99,1.4226342710997442
100,1.3743051266213713
101,1.5614035087719298
102,1.5003371544167228
103,1.5462126476719944
104,1.3411693791440626
105,1.4609323703217334
106,1.5892857142857142
107,1.394110275689223
108,1.3700738916256157
109,1.4162953532781668
110,1.5033783783783783
111,1.5084745762711864
112,1.390625
113,1.3633578431372548
114,1.5691114245416078
115,1.5344827586206897
116,1.316568047337278
117,1.379417234965902
118,1.3575350823672971
119,1.496301277740417
120,1.3542300669507
121,1.5462126476719944
122,1.5691114245416078
123,1.5757790368271956
124,1.4345583494519665
125,1.3616891064871481
126,1.391494684177611
127,1.4580602883355176
128,1.590421729807005
129,1.429948586118252
130,1.3768564356435644
131,1.3667076167076166
132,1.6324284666177549
133,1.4495114006514658
134,1.4882943143812708
135,1.6679160419790104
136,1.3675476336816226
137,1.3173475429248076
138,1.6229029905178702
139,1.409119696010133
140,1.5229295003422314
141,1.3888888888888888
142,1.4735099337748345
143,1.4046717171717171
144,1.5603085553997196
145,1.5526866713189114
146,1.3828464885021752
147,1.3072855464159812
148,1.4638157894736843
149,1.5462126476719944
150,1.419910657306956
151,1.3575350823672971
152,1.3591936469150885
153,1.514635806671205
154,1.4504563233376793
155,1.4466840052015604
156,1.5334252239834596
157,1.4029003783102143
158,1.4715608465608465
159,1.2936046511627908
160,1.429948586118252
161,1.4100126742712293
162,1.4705882352941178
163,1.338748495788207
164,1.3575350823672971
165,1.6053391053391053
166,1.462853385930309
167,1.5483646485734168
168,1.4153944020356235
169,1.4429312581063554
170,1.3173475429248076
171,1.3819875776397517
172,1.4638157894736843
173,1.4892904953145918
174,1.4504563233376793
175,1.5757790368271956
176,1.5084745762711864
177,1.587018544935806
